,Training episodes,Reward
575,115200,-12412.878124999988
576,115400,-12412.87812499999
577,115600,-12412.878124999992
578,115800,-12412.878124999994
579,116000,-12412.878124999996
580,116200,-12412.878124999997
581,116400,-12412.878124999997
582,116600,-12412.878124999997
583,116800,-12412.878124999997
584,117000,-12412.878124999997
585,117200,-12412.878124999997
586,117400,-12412.878124999997
587,117600,-12412.878124999997
588,117800,-12412.878124999997
589,118000,-12412.878124999997
590,118200,-12412.878124999997
591,118400,-12412.878124999997
592,118600,-12412.878124999997
593,118800,-12412.878124999997
594,119000,-12412.878124999997
595,119200,-12412.878124999997
596,119400,-12412.878124999997
597,119600,-12412.878124999997
598,119800,-12412.878124999997
599,120000,-12412.878124999997
600,120200,-12412.878124999997
601,120400,-12412.878124999997
602,120600,-12412.878124999997
603,120800,-12412.878124999997
604,121000,-12412.878124999997
605,121200,-12412.878124999997
606,121400,-12412.878124999997
607,121600,-12412.878124999997
608,121800,-12412.878124999997
609,122000,-12412.878124999997
610,122200,-12412.878124999997
611,122400,-12412.878124999997
612,122600,-12412.878124999997
613,122800,-12412.878124999997
614,123000,-12412.878124999997
615,123200,-12412.878124999997
616,123400,-12412.878124999997
617,123600,-12412.878124999997
618,123800,-12412.878124999997
619,124000,-12412.878124999997
620,124200,-12412.878124999997
621,124400,-12412.878124999997
622,124600,-12412.878124999997
623,124800,-12412.878124999997
624,125000,-12412.878124999997
625,125200,-12412.878124999997
626,125400,-12412.878124999997
627,125600,-12412.878124999997
628,125800,-12412.878124999997
629,126000,-12409.328281249997
630,126200,-12404.640281249998
631,126400,-12391.206599999998
632,126600,-12370.315904999998
633,126800,-12350.696942749997
634,127000,-12320.826772949998
635,127200,-12289.97438711
636,127400,-12259.549353438
637,127600,-12219.084795250401
638,127800,-12160.47267995032
639,128000,-12085.916112710256
640,128200,-12002.136327668204
641,128400,-11900.240312134563
642,128600,-11792.55256220765
643,128800,-11685.56548726612
644,129000,-11562.358796062896
645,129200,-11440.901255600318
646,129400,-11314.366316980253
647,129600,-11173.785397334203
648,129800,-11024.20113036736
649,130000,-10848.74590429389
650,130200,-10672.429848435111
651,130400,-10505.226691248088
652,130600,-10331.65604049847
653,130800,-10165.056551148777
654,131000,-10002.815240919022
655,131200,-9846.422817735218
656,131400,-9708.581379188174
657,131600,-9585.138072100539
658,131800,-9469.718113930432
659,132000,-9353.125584894346
660,132200,-9232.042186665476
661,132400,-9108.66843683238
662,132600,-8972.270999465905
663,132800,-8822.101018322724
664,133000,-8670.35143965818
665,133200,-8510.726932976544
666,133400,-8349.464515131236
667,133600,-8193.02989335499
668,133800,-8054.146727183992
669,134000,-7922.546756747194
670,134200,-7807.501155397756
671,134400,-7691.3726430682045
672,134600,-7586.922489454564
673,134800,-7494.223616563651
674,135000,-7418.999830750921
675,135200,-7352.789552100738
676,135400,-7295.62773543059
677,135600,-7242.538907094472
678,135800,-7194.040031925577
679,136000,-7152.824525540462
680,136200,-7113.86680793237
681,136400,-7082.213446345896
682,136600,-7049.053257076717
683,136800,-7019.623699411373
684,137000,-6990.895209529099
685,137200,-6966.859605123279
686,137400,-6946.8226840986235
687,137600,-6929.324241028899
688,137800,-6909.60111157312
689,138000,-6895.405420508496
690,138200,-6882.8749614067965
691,138400,-6868.910125375437
692,138600,-6858.222631550349
693,138800,-6847.415292740279
694,139000,-6838.213952942223
695,139200,-6826.953506103779
696,139400,-6818.007804883023
697,139600,-6809.657650156418
698,139800,-6802.302526375135
699,140000,-6795.603114850108
700,140200,-6790.439523130087
701,140400,-6784.63255600407
702,140600,-6780.553388553256
703,140800,-6774.585210842605
704,141000,-6767.919574924084
705,141200,-6761.544409939268
706,141400,-6756.064277951415
707,141600,-6752.269234861132
708,141800,-6748.645231638906
709,142000,-6746.796341561125
710,142200,-6745.0892607489
711,142400,-6743.53828359912
712,142600,-6742.597658129296
713,142800,-6742.090939003438
714,143000,-6741.57275120275
715,143200,-6739.8789822122
716,143400,-6738.465842019759
717,143600,-6736.976267365807
718,143800,-6734.077576392646
719,144000,-6732.993467364117
720,144200,-6731.249773891293
721,144400,-6731.719037863035
722,144600,-6732.053980290429
723,144800,-6732.468496732343
724,145000,-6732.464016135875
725,145200,-6731.6321504087
726,145400,-6733.09384532696
727,145600,-6734.445388761568
728,145800,-6735.169904759255
729,146000,-6734.241705057403
730,146200,-6731.345551545923
731,146400,-6727.8572224867385
732,146600,-6724.851559239391
733,146800,-6723.524841141513
734,147000,-6724.30752916321
735,147200,-6723.766492080569
736,147400,-6723.892256164456
737,147600,-6724.258804931565
738,147800,-6724.557512695252
739,148000,-6723.674760156201
740,148200,-6724.356526874961
741,148400,-6722.4288152499685
742,148600,-6722.2191459499745
743,148800,-6724.69187925998
744,149000,-6725.648190907985
745,149200,-6728.0205839763885
746,149400,-6730.115685931111
747,149600,-6731.891142494889
748,149800,-6736.423695245911
749,150000,-6738.91333119673
750,150200,-6742.919883707384
751,150400,-6744.779344465907
752,150600,-6748.576444322726
753,150800,-6751.000686708181
754,151000,-6753.036174366545
755,151200,-6755.414251993237
756,151400,-6758.33233909459
757,151600,-6759.934621275672
758,151800,-6761.180978270538
759,152000,-6762.4652513664305
760,152200,-6762.430951093144
761,152400,-6763.182417124515
762,152600,-6763.148746199613
763,152800,-6763.40430945969
764,153000,-6766.009385067752
765,153200,-6767.955789304202
766,153400,-6769.267756443362
767,153600,-6771.155611404689
768,153800,-6771.927145373751
769,154000,-6773.290778799002
770,154200,-6774.054341789201
771,154400,-6773.509098431361
772,154600,-6773.492122495089
773,154800,-6773.656197996072
774,155000,-6771.010895896858
775,155200,-6768.734966717486
776,155400,-6765.678442123989
777,155600,-6761.575097449191
778,155800,-6759.177890459353
779,156000,-6755.118406117483
780,156200,-6752.225193643986
781,156400,-6750.660936165189
782,156600,-6748.070780182152
783,156800,-6746.226311645722
784,157000,-6746.5549555665775
785,157200,-6746.995214453262
786,157400,-6746.36273406261
787,157600,-6747.462374750088
788,157800,-6748.600212300071
789,158000,-6747.957513590056
790,158200,-6747.337260872045
791,158400,-6748.040121197636
792,158600,-6748.430690708109
793,158800,-6749.623302566488
794,159000,-6750.06770455319
795,159200,-6749.739007392553
796,159400,-6747.367455914043
797,159600,-6746.484902231234
798,159800,-6745.868390534987
799,160000,-6744.19893117799
800,160200,-6739.5949261923915
801,160400,-6737.541878453913
802,160600,-6733.867565263131
803,160800,-6730.500458460505
804,161000,-6728.598179268404
805,161200,-6725.801512164724
806,161400,-6723.76542848178
807,161600,-6720.612655285424
808,161800,-6717.971061728339
809,162000,-6717.718255632672
810,162200,-6716.377885756137
811,162400,-6713.281371104909
812,162600,-6711.8661906339275
813,162800,-6709.708108757141
814,163000,-6706.815080755713
815,163200,-6704.067689604571
816,163400,-6701.258682933657
817,163600,-6700.131633846926
818,163800,-6699.853588327542
819,164000,-6699.250058162033
820,164200,-6698.906921529627
821,164400,-6699.8585059737015
822,164600,-6700.440242278962
823,164800,-6701.051725073169
824,165000,-6701.752473808536
825,165200,-6702.630104046829
826,165400,-6702.540020737463
827,165600,-6701.278110339971
828,165800,-6698.716238271977
829,166000,-6698.289553117582
830,166200,-6696.437267494066
831,166400,-6696.044345245253
832,166600,-6695.410944946203
833,166800,-6695.284068456962
834,167000,-6695.10209851557
835,167200,-6697.065272562457
836,167400,-6698.248624299966
837,167600,-6699.1734306899725
838,167800,-6699.895307051978
839,168000,-6700.768120641583
840,168200,-6701.788871513266
841,168400,-6703.678909710613
842,168600,-6704.78453401849
843,168800,-6704.589814714792
844,169000,-6704.8513830218335
845,169200,-6703.196575167467
846,169400,-6703.230385133973
847,169600,-6702.936964357179
848,169800,-6701.610508985743
849,170000,-6698.457782188594
850,170200,-6696.469819500875
851,170400,-6694.6106993507
852,170600,-6694.26418448056
853,170800,-6693.207597584448
854,171000,-6692.438734317559
855,171200,-6691.651143704047
856,171400,-6691.185446213238
857,171600,-6692.967731970591
858,171800,-6693.764810576473
859,172000,-6694.673567211178
860,172200,-6696.039947518942
861,172400,-6696.450864265154
862,172600,-6697.665847662123
863,172800,-6698.342365629699
864,173000,-6698.024986253759
865,173200,-6697.803895253008
866,173400,-6698.789366202406
867,173600,-6700.104617961925
868,173800,-6700.66072561954
869,174000,-6701.2781117456325
